_Composite_Pipe_Results_
	Input parameters:
Hot side temperature:
T1 =	110.000	deg C
Cold side temperature:
T2 =	30.000	deg C

Pipe length:
L =	1.000	m

Inner radius:
r_1 =	0.050	m

Thermal conductivity of layer 1:
k_1 =	400.000	W/m.K
Outer radius of layer 1:
r_2 =	0.060	m

Layer 1 resistance to heat transfer:
R_2 =	0.000	K/W

Thermal conductivity of layer 2:
k_2 =	75.000	W/m.K
Outer radius of layer 2:
r_3 =	0.090	m

Layer 2 resistance to heat transfer:
R_3 =	0.001	K/W

Thermal conductivity of layer 3:
k_3 =	0.500	W/m.K
Outer radius of layer 3:
r_4 =	0.150	m

Layer 3 resistance to heat transfer:
R_4 =	0.163	K/W

	Intermediate parameters:
Rate of heat transfer:
Q =	489.195	W

	Output parameters:
k (W/m.K)	h (W/m2.K)	r (mm)	T (deg C)
		90.96000	107.89142
		91.20000	107.48111
		91.44000	107.07187
		91.68000	106.66370
		91.92000	106.25660
		92.16000	105.85056
		92.40000	105.44558
		92.64000	105.04165
		92.88000	104.63876
		93.12000	104.23691
		93.36000	103.83610
		93.60000	103.43631
		93.84000	103.03755
		94.08000	102.63981
		94.32000	102.24308
		94.56000	101.84736
		94.80000	101.45265
		95.04000	101.05893
		95.28000	100.66620
		95.52000	100.27446
		95.76000	99.88371
		96.00000	99.49393
		96.24000	99.10513
		96.48000	98.71729
		96.72000	98.33042
		96.96000	97.94451
		97.20000	97.55955
		97.44000	97.17554
		97.68000	96.79248
		97.92000	96.41035
		98.16000	96.02916
		98.40000	95.64890
		98.64000	95.26957
		98.88000	94.89116
		99.12000	94.51367
		99.36000	94.13709
		99.60000	93.76142
		99.84000	93.38665
		100.08000	93.01278
		100.32000	92.63981
		100.56000	92.26773
		100.80000	91.89654
		101.04000	91.52622
		101.28000	91.15679
		101.52000	90.78823
		101.76000	90.42055
		102.00000	90.05372
		102.24000	89.68776
		102.48000	89.32266
		102.72000	88.95841
		102.96000	88.59502
		103.20000	88.23247
		103.44000	87.87076
		103.68000	87.50989
		103.92000	87.14985
		104.16000	86.79064
		104.40000	86.43226
		104.64000	86.07471
		104.88000	85.71797
		105.12000	85.36205
		105.36000	85.00694
		105.60000	84.65264
		105.84000	84.29914
		106.08000	83.94644
		106.32000	83.59454
		106.56000	83.24343
		106.80000	82.89312
		107.04000	82.54359
		107.28000	82.19484
		107.52000	81.84687
		107.76000	81.49968
		108.00000	81.15326
		108.24000	80.80761
		108.48000	80.46272
		108.72000	80.11860
		108.96000	79.77523
		109.20000	79.43262
		109.44000	79.09077
		109.68000	78.74966
		109.92000	78.40930
		110.16000	78.06968
		110.40000	77.73080
		110.64000	77.39265
		110.88000	77.05524
		111.12000	76.71856
		111.36000	76.38260
		111.60000	76.04737
		111.84000	75.71285
		112.08000	75.37906
		112.32000	75.04598
		112.56000	74.71360
		112.80000	74.38194
		113.04000	74.05098
		113.28000	73.72073
		113.52000	73.39117
		113.76000	73.06231
		114.00000	72.73414
		114.24000	72.40666
		114.48000	72.07987
		114.72000	71.75376
		114.96000	71.42834
		115.20000	71.10359
		115.44000	70.77952
		115.68000	70.45613
		115.92000	70.13340
		116.16000	69.81134
		116.40000	69.48994
		116.64000	69.16921
		116.88000	68.84914
		117.12000	68.52972
		117.36000	68.21096
		117.60000	67.89285
		117.84000	67.57538
		118.08000	67.25856
		118.32000	66.94239
		118.56000	66.62686
		118.80000	66.31196
		119.04000	65.99770
		119.28000	65.68407
		119.52000	65.37108
		119.76000	65.05871
		120.00000	64.74697
		120.24000	64.43585
		120.48000	64.12535
		120.72000	63.81546
		120.96000	63.50620
		121.20000	63.19754
		121.44000	62.88950
		121.68000	62.58206
		121.92000	62.27524
		122.16000	61.96901
		122.40000	61.66339
		122.64000	61.35836
		122.88000	61.05393
		123.12000	60.75009
		123.36000	60.44685
		123.60000	60.14419
		123.84000	59.84213
		124.08000	59.54064
		124.32000	59.23974
		124.56000	58.93942
		124.80000	58.63968
		125.04000	58.34052
		125.28000	58.04193
		125.52000	57.74390
		125.76000	57.44645
		126.00000	57.14957
		126.24000	56.85325
		126.48000	56.55749
		126.72000	56.26230
		126.96000	55.96766
		127.20000	55.67358
		127.44000	55.38005
		127.68000	55.08708
		127.92000	54.79465
		128.16000	54.50278
		128.40000	54.21145
		128.64000	53.92066
		128.88000	53.63042
		129.12000	53.34072
		129.36000	53.05155
		129.60000	52.76292
		129.84000	52.47482
		130.08000	52.18726
		130.32000	51.90023
		130.56000	51.61372
		130.80000	51.32774
		131.04000	51.04229
		131.28000	50.75735
		131.52000	50.47294
		131.76000	50.18905
		132.00000	49.90567
		132.24000	49.62281
		132.48000	49.34046
		132.72000	49.05862
		132.96000	48.77729
		133.20000	48.49647
		133.44000	48.21615
		133.68000	47.93634
		133.92000	47.65703
		134.16000	47.37822
		134.40000	47.09990
		134.64000	46.82209
		134.88000	46.54477
		135.12000	46.26794
